latitude,longitude,year,month,country,basisOfRecord,latitude_moved,longitude_moved,dist_moved,GulfofPiran_seaway,RavennaH_seaway,RavennaM_seaway,GulfofPiran_geodesic,RavennaH_geodesic,RavennaM_geodesic
45.426252,12.327228,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.67,101,105,105,97,100,100
45.426276,12.327195,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.68,101,105,105,97,100,100
45.42739,12.339775,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.65,101,105,105,97,100,100
45.42764,12.36316,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.7,101,105,105,97,100,100
45.428327,12.331671,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.84,101,105,105,97,100,100
45.429543,12.342367,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.87,101,105,105,97,100,100
45.429937,12.339617,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.94,101,105,105,97,100,100
45.430042,12.381753,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.25,101,105,105,97,100,100
45.431089,12.335536,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.1,101,105,105,97,100,100
45.431332,12.351641,2023,3,Italy,HUMAN_OBSERVATION,45.35,12.35,9.05,101,105,105,97,100,100
45.432409,12.316813,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.53,101,105,105,97,100,100
45.43256,12.338895,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.23,101,105,105,97,100,100
45.432795,12.349494,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.22,101,105,105,97,100,100
45.433443,12.341043,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.32,101,105,105,97,100,100
45.433551,12.346923,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.3,101,105,105,97,100,100
45.433642,12.327514,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.48,101,105,105,97,100,100
45.433781,12.344408,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,105,105,97,100,100
45.433781,12.344408,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,105,105,97,100,100
45.433781,12.344408,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,105,105,97,100,100
45.433781,12.344408,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,105,105,97,100,100
45.433781,12.344408,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,105,105,97,100,100
45.433781,12.344408,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,105,105,97,100,100
45.435175,12.320595,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.76,101,105,105,97,100,100
45.437936,12.303813,2023,3,Italy,HUMAN_OBSERVATION,45.35,12.35,10.43,101,105,105,97,100,100
45.438333,12.335949,2023,3,Italy,HUMAN_OBSERVATION,45.35,12.35,9.89,101,105,105,97,100,100
45.440621,12.321593,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,10.33,101,105,105,97,100,100
45.442544,12.328543,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,10.44,101,105,105,97,100,100
45.480474,12.480341,2022,6,Italy,HUMAN_OBSERVATION,45.45,12.55,6.41,82,114,114,80,112,112
45.53,13.556,,,Slovenia,MATERIAL_SAMPLE,45.53,13.556,0,0,155,155,2,153,153
45.547,13.722,,,Slovenia,MATERIAL_SAMPLE,45.55,13.65,5.62,8,161,161,7,160,160
45.547,13.722,,,Slovenia,MATERIAL_SAMPLE,45.55,13.65,5.62,8,161,161,7,160,160
45.606796,12.89986,2023,4,Italy,HUMAN_OBSERVATION,45.55,12.85,7.42,55,129,129,56,128,128
45.62738,13.001711,2018,5,Italy,HUMAN_OBSERVATION,45.55,13.05,9.4,39,135,135,41,134,134
46.137592,14.890636,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,210,210,64,187,187
46.137592,14.890636,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,210,210,64,187,187
46.137592,14.890636,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,210,210,64,187,187
46.137592,14.890636,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,210,210,64,187,187
46.137592,14.890636,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,210,210,64,187,187
46.137592,14.890636,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,210,210,64,187,187
46.137592,14.890636,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,210,210,64,187,187
46.137592,14.890636,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,210,210,64,187,187
46.137592,14.890636,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,210,210,64,187,187
