latitude,longitude,latitude_moved,longitude_moved,dist_moved,i.latitude_moved,i.longitude_moved,i.dist_moved,i.latitude_moved.4,i.longitude_moved.4,i.dist_moved.4,i.latitude_moved.3,i.longitude_moved.3,i.dist_moved.3,i.latitude_moved.2,i.longitude_moved.2,i.dist_moved.2,year,month,country,basisOfRecord,latitude_moved.x,longitude_moved.x,dist_moved.x,GulfofPiran_seaway.x,GulfofPiran_geodesic.x,RavennaH_seaway.x,RavennaH_geodesic.x,RavennaM_seaway.x,RavennaM_geodesic.x,latitude_moved.y,longitude_moved.y,dist_moved.y,GulfofPiran_seaway.y,GulfofPiran_geodesic.y,RavennaH_seaway.y,RavennaH_geodesic.y,RavennaM_seaway.y,RavennaM_geodesic.y,i.latitude_moved.1,i.longitude_moved.1,i.dist_moved.1,GulfofPiran_seaway,GulfofPiran_geodesic,RavennaH_seaway,RavennaH_geodesic,RavennaM_seaway,RavennaM_geodesic
45.316936,12.314843,45.316936,12.314843,0,45.316936,12.314843,0,45.316936,12.314843,0,45.316936,12.314843,0,45.316936,12.314843,0,2023,4,Italy,HUMAN_OBSERVATION,,,,101,101,105,96,105,96,,,,101,101,105,96,105,96,,,,101,101,105,96,105,96
45.435175,12.320595,45.35,12.35,9.76,45.35,12.35,9.76,45.35,12.35,9.76,45.35,12.35,9.76,45.35,12.35,9.76,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.76,101,97,105,100,105,100,45.35,12.35,9.76,101,97,105,100,105,100,45.35,12.35,9.76,101,97,105,100,105,100
45.433443,12.341043,45.35,12.35,9.32,45.35,12.35,9.32,45.35,12.35,9.32,45.35,12.35,9.32,45.35,12.35,9.32,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.32,101,97,105,100,105,100,45.35,12.35,9.32,101,97,105,100,105,100,45.35,12.35,9.32,101,97,105,100,105,100
45.253714,12.299056,45.253714,12.299056,0,45.253714,12.299056,0,45.253714,12.299056,0,45.253714,12.299056,0,45.253714,12.299056,0,2023,4,Italy,HUMAN_OBSERVATION,,,,112,104,98,89,98,89,,,,112,104,98,89,98,89,,,,112,104,98,89,98,89
45.243062,12.293684,45.243062,12.293684,0,45.243062,12.293684,0,45.243062,12.293684,0,45.243062,12.293684,0,45.243062,12.293684,0,2023,4,Italy,HUMAN_OBSERVATION,,,,112,104,98,88,98,88,,,,112,104,98,88,98,88,,,,112,104,98,88,98,88
45.429543,12.342367,45.35,12.35,8.87,45.35,12.35,8.87,45.35,12.35,8.87,45.35,12.35,8.87,45.35,12.35,8.87,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.87,101,97,105,100,105,100,45.35,12.35,8.87,101,97,105,100,105,100,45.35,12.35,8.87,101,97,105,100,105,100
45.433551,12.346923,45.35,12.35,9.3,45.35,12.35,9.3,45.35,12.35,9.3,45.35,12.35,9.3,45.35,12.35,9.3,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.3,101,97,105,100,105,100,45.35,12.35,9.3,101,97,105,100,105,100,45.35,12.35,9.3,101,97,105,100,105,100
45.440621,12.321593,45.35,12.35,10.33,45.35,12.35,10.33,45.35,12.35,10.33,45.35,12.35,10.33,45.35,12.35,10.33,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,10.33,101,97,105,100,105,100,45.35,12.35,10.33,101,97,105,100,105,100,45.35,12.35,10.33,101,97,105,100,105,100
45.42764,12.36316,45.35,12.35,8.7,45.35,12.35,8.7,45.35,12.35,8.7,45.35,12.35,8.7,45.35,12.35,8.7,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.7,101,97,105,100,105,100,45.35,12.35,8.7,101,97,105,100,105,100,45.35,12.35,8.7,101,97,105,100,105,100
45.442544,12.328543,45.35,12.35,10.44,45.35,12.35,10.44,45.35,12.35,10.44,45.35,12.35,10.44,45.35,12.35,10.44,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,10.44,101,97,105,100,105,100,45.35,12.35,10.44,101,97,105,100,105,100,45.35,12.35,10.44,101,97,105,100,105,100
