latitude,longitude,year,month,country,basisOfRecord,latitude_moved,longitude_moved,dist_moved
40.835278,24.333611,1998,8,Greece,HUMAN_OBSERVATION,40.835278,24.333611,0
40.938817,0.852357,2011,4,Spain,HUMAN_OBSERVATION,40.85,0.850000000000023,9.89
40.950082,19.479998,2022,5,Albania,HUMAN_OBSERVATION,40.950082,19.479998,0
41.387917,2.169919,2010,7,Spain,HUMAN_OBSERVATION,41.35,2.25,7.91
41.387917,2.169919,2010,7,Spain,HUMAN_OBSERVATION,41.35,2.25,7.91
41.387917,2.169919,2010,7,Spain,HUMAN_OBSERVATION,41.35,2.25,7.91
41.434675,2.242603,2012,3,Spain,HUMAN_OBSERVATION,41.35,2.25,9.45
41.434675,2.242603,2012,3,Spain,HUMAN_OBSERVATION,41.35,2.25,9.45
41.8383,8.74246,2020,11,France,HUMAN_OBSERVATION,41.8383,8.74246,0
41.85043,8.75475,2020,7,France,HUMAN_OBSERVATION,41.85043,8.75475,0
41.85043,8.75475,2014,8,France,HUMAN_OBSERVATION,41.85043,8.75475,0
42.05008,3.22426,2019,10,Spain,HUMAN_OBSERVATION,42.05008,3.22426,0
42.23522,3.22138,2022,9,Spain,HUMAN_OBSERVATION,42.25,3.15000000000001,6.11
42.23522,3.22138,2020,9,Spain,HUMAN_OBSERVATION,42.25,3.15000000000001,6.11
42.2371,3.26296,2020,9,Spain,HUMAN_OBSERVATION,42.25,3.35000000000002,7.32
42.23891,3.25344,2022,9,Spain,HUMAN_OBSERVATION,42.15,3.25,9.9
42.24072,3.24906,2020,9,Spain,HUMAN_OBSERVATION,42.25,3.15000000000001,8.23
42.4611,3.16021,2018,7,France,HUMAN_OBSERVATION,42.45,3.25,7.48
42.47433,3.1567,2022,6,France,HUMAN_OBSERVATION,42.55,3.15000000000001,8.44
42.47433,3.1567,2019,9,France,HUMAN_OBSERVATION,42.55,3.15000000000001,8.44
42.47635,3.15694,2022,6,France,HUMAN_OBSERVATION,42.55,3.15000000000001,8.22
42.47635,3.15694,2019,9,France,HUMAN_OBSERVATION,42.55,3.15000000000001,8.22
42.47805,3.16149,2019,5,France,HUMAN_OBSERVATION,42.45,3.25,7.91
42.47805,3.16149,2019,5,France,HUMAN_OBSERVATION,42.45,3.25,7.91
42.47805,3.16149,2019,5,France,HUMAN_OBSERVATION,42.45,3.25,7.91
42.47805,3.16149,2019,9,France,HUMAN_OBSERVATION,42.45,3.25,7.91
42.47861,3.14917,2019,9,France,HUMAN_OBSERVATION,42.55,3.15000000000001,7.95
42.515308,-8.813571,2011,7,Spain,HUMAN_OBSERVATION,42.515308,-8.813571,0
42.515308,-8.813571,2011,7,Spain,HUMAN_OBSERVATION,42.515308,-8.813571,0
42.515308,-8.813571,2011,7,Spain,HUMAN_OBSERVATION,42.515308,-8.813571,0
43.01827,6.36259,2023,6,France,HUMAN_OBSERVATION,43.01827,6.36259,0
43.104783,3.085172,2022,11,France,HUMAN_OBSERVATION,43.05,3.15000000000001,8.06
43.116678,3.118966,2020,6,France,HUMAN_OBSERVATION,43.05,3.15000000000001,7.84
43.12901,3.12931,2019,5,France,HUMAN_OBSERVATION,43.05,3.15000000000001,8.95
43.24932,3.49883,2017,6,France,HUMAN_OBSERVATION,43.24932,3.49883,0
43.26841,3.51196,2022,1,France,HUMAN_OBSERVATION,43.26841,3.51196,0
43.27058,3.51475,2018,8,France,HUMAN_OBSERVATION,43.27058,3.51475,0
43.399335,5.076908,2023,9,France,HUMAN_OBSERVATION,43.45,5.15000000000001,8.17
43.399647,5.073329,2022,8,France,HUMAN_OBSERVATION,43.45,5.15000000000001,8.36
43.399824,5.136604,2025,3,France,HUMAN_OBSERVATION,43.45,5.15000000000001,5.69
43.4064,6.77364,2023,7,France,HUMAN_OBSERVATION,43.35,6.75,6.56
43.4064,6.77364,2021,5,France,HUMAN_OBSERVATION,43.35,6.75,6.56
43.4064,6.77364,2018,4,France,HUMAN_OBSERVATION,43.35,6.75,6.56
43.40877,6.84209,2023,7,France,HUMAN_OBSERVATION,43.35,6.85000000000002,6.57
43.4137,3.68575,2021,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,7.66
43.42128,3.60545,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,8.72
43.42159,3.67842,2022,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,8.29
43.424687,3.699389,2016,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.22
43.42472,3.7,2023,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2023,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2023,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2023,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2023,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,11,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,11,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2022,11,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
